Movie Name,Language,Running Time,Year of Release,Maturity Rating,type,platform,tconst,genres,IMDb Rating_y
King Solomon,Malayalam,147,1996,NR,Movie,Amazon Prime,tt0355651,\N,3.3
Punnami Naagu,Telugu,130,1980,18+,Movie,Amazon Prime,tt0246177,"Drama,Horror",7.2
Aurangzeb,Hindi,137,2013,16+,Movie,Amazon Prime,tt2804026,"Action,Drama,Thriller",6.5
Nirbachana,English,102,1994,NR,Movie,Amazon Prime,tt0305897,Drama,6.4
Jaganmohini,Telugu,146,1978,All,Movie,Amazon Prime,tt0077760,Fantasy,6.6
American Hustle,English,138,2013,18+,Movie,Amazon Prime,tt1800241,"Crime,Drama",7.2
The Pom Pom Girls,English,89,1976,18+,Movie,Amazon Prime,tt0075086,"Comedy,Romance",4.9
Vaai Kozhuppu,Tamil,137,1989,NR,Movie,Amazon Prime,tt10128076,\N,3.5
Ae Dil Hai Mushkil,Hindi,155,2016,13+,Movie,Amazon Prime,tt4559006,"Drama,Music,Musical",5.8
Love 86,Hindi,140,1986,All,Movie,Amazon Prime,tt0359619,"Drama,Romance",5.7
Janta Hawaldar,Hindi,126,1979,NR,Movie,Amazon Prime,tt0357809,"Comedy,Crime,Drama",6.5
Thira,Malayalam,109,2013,All,Movie,Amazon Prime,tt3329774,Thriller,7.4
The Program,English,103,2015,18+,Movie,Amazon Prime,tt3083008,"Biography,Drama,Sport",6.5
Golmaal Again,Hindi,144,2017,13+,Movie,Amazon Prime,tt1806913,"Action,Comedy,Fantasy",5.0
Anukokunda Oka Roju,Telugu,145,2005,All,Movie,Amazon Prime,tt0473604,"Mystery,Thriller",8.0
We Go Way Back,English,79,2006,NR,Movie,Amazon Prime,tt0468580,Drama,6.2
Bhikari,Marathi,123,2017,13+,Movie,Amazon Prime,tt7151480,"Action,Drama,Thriller",6.0
Ichak,Marathi,104,2017,All,Movie,Amazon Prime,tt6916936,Romance,5.8
The Ballad of Lefty Brown,English,111,2017,18+,Movie,Amazon Prime,tt4400994,"Action,Drama,Western",6.3
Full 3 Dhamaal,Marathi,110,2008,All,Movie,Amazon Prime,tt1219340,Comedy,5.8
Abhinandana,Telugu,130,1988,NR,Movie,Amazon Prime,tt0318964,"Drama,Romance",7.5
Transformers: Revenge of the Fallen,English,149,2009,13+,Movie,Amazon Prime,tt1055369,"Action,Adventure,Sci-Fi",6.0
Doorbeen,Punjabi,125,2019,13+,Movie,Amazon Prime,tt9850646,"Adventure,Comedy,Drama",6.0
Gharshana,Telugu,158,2004,18+,Movie,Amazon Prime,tt0475591,"Action,Crime,Drama",7.4
Pyari Behna,Hindi,136,1985,NR,Movie,Amazon Prime,tt0155985,"Action,Comedy,Drama",6.9
Bad Boys II,Tamil,146,2003,13+,Movie,Amazon Prime,tt0172156,"Action,Comedy,Crime",6.6
Bandhuvulostunnaru Jagratha,Telugu,120,1989,All,Movie,Amazon Prime,tt0271390,"Comedy,Drama",6.6
Troop Zero,English,97,2020,7+,Movie,Amazon Prime,tt11614460,Talk-Show,7.6
Pokkiri Raja,Tamil,138,1982,All,Movie,Amazon Prime,tt0187412,Action,6.2
Lacchimdeviki O Lekkundi,Telugu,107,2016,13+,Movie,Amazon Prime,tt5389902,"Comedy,Thriller",5.2
Salaam Namaste,Hindi,158,2005,13+,Movie,Amazon Prime,tt0456165,"Comedy,Drama,Romance",6.2
Prematho Mee Karthik,Telugu,115,2017,All,Movie,Amazon Prime,tt9890030,"Action,Drama,Romance",6.8
Overtake,Malayalam,119,2017,All,Movie,Amazon Prime,tt7273546,"Action,Thriller",6.7
Short Term 12,English,96,2013,18+,Movie,Amazon Prime,tt2370248,Drama,8.0
People Like Us,English,114,2012,16+,Movie,Amazon Prime,tt1716777,"Comedy,Drama",7.1
Maharasan,Tamil,144,1993,NR,Movie,Amazon Prime,tt0318414,"Comedy,Drama",5.6
Maai Baap,Marathi,110,2007,All,Movie,Amazon Prime,tt7176068,Drama,8.4
Fantastic Beasts and Where to Find Them,Telugu,132,2016,13+,Movie,Amazon Prime,tt3183660,"Adventure,Family,Fantasy",7.3
Rathaavara,Kannada,131,2015,13+,Movie,Amazon Prime,tt3956366,"Crime,Drama,Thriller",6.5
The Ninth Configuration,English,117,1980,18+,Movie,Amazon Prime,tt0081237,"Comedy,Drama,Horror",7.0
Sneham,Malayalam,134,1998,NR,Movie,Amazon Prime,tt0274093,Drama,7.2
Beautiful Boy,English,120,2018,18+,Movie,Amazon Prime,tt1226837,"Biography,Drama",7.3
Terminator Genisys,English,125,2015,13+,Movie,Amazon Prime,tt1340138,"Action,Adventure,Sci-Fi",6.3
Unrelated,English,95,2007,NR,Movie,Amazon Prime,tt1107850,Drama,6.8
Welcome,Hindi,149,2007,13+,Movie,Amazon Prime,tt0488798,"Comedy,Romance",7.0
Rajavinte Makan,Malayalam,128,1986,NR,Movie,Amazon Prime,tt0282889,"Action,Crime,Drama",7.6
Manya Sajjana,Marathi,2 h,2008,All,Movie,Amazon Prime,tt7247282,Comedy,8.0
Alvin and the Chipmunks: The Squeakquel,English,88,2009,All,Movie,Amazon Prime,tt1231580,"Adventure,Animation,Comedy",4.5
Gold,Hindi,145,2018,13+,Movie,Amazon Prime,tt6273430,"Drama,Short",8.2
Baap Re Baap Dokyala Taap,Marathi,140,2008,All,Movie,Amazon Prime,tt2608652,Comedy,5.9
Rapture-Palooza,English,84,2013,18+,Movie,Amazon Prime,tt1879032,"Comedy,Fantasy",5.2
C.B.I. Shankar,Kannada,130,1989,NR,Movie,Amazon Prime,tt1319067,\N,7.7
Darna Mana Hai,Hindi,116,2003,18+,Movie,Amazon Prime,tt0349333,Horror,6.3
Vivaha Bhojanambu,Telugu,138,1988,NR,Movie,Amazon Prime,tt0250104,Comedy,7.7
Hear No Evil,English,96,1993,18+,Movie,Amazon Prime,tt0107090,Thriller,5.0
Bobbili Brahmanna,Telugu,122,1984,NR,Movie,Amazon Prime,tt0257451,"Action,Drama",5.7
Hum Ho Gaye Aap Ke,Hindi,157,2001,13+,Movie,Amazon Prime,tt0292552,"Drama,Musical,Romance",4.2
Okkadu,Telugu,155,2003,NR,Movie,Amazon Prime,tt0366840,"Action,Romance,Sport",8.0
